"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","id","bioid","name","gender","type","party","facebook","youtube"
"repjimmcdermott","132201224","RepJimMcDermott","Jim McDermott","Proudly serving Washington State's 7th Congressional District",13938,1845,1295,"Mon Apr 12 15:27:16 +0000 2010","","00766","M000404","Jim McDermott","M","Congress","Democrat","CongressmanJimMcDermott","RepJimMcDermott"
"repjimrenacci","236916916","RepJimRenacci","Rep. Jim Renacci","Serving my third term representing the great people of the 16th district of Ohio in the House of Representatives",12621,2821,650,"Tue Jan 11 17:20:35 +0000 2011","","02048","R000586","James B. Renacci","M","Congress","Republican","repjimrenacci","repjimrenacci"
"repjoebarton","19929362","RepJoeBarton","Joe Barton","I represent the 6th Congressional District of Texas.",17816,1730,159,"Mon Feb 02 20:30:20 +0000 2009","Texas and Washington, DC","00062","B000213","Joe Barton","M","Congress","Republican","RepJoeBarton","repjoebarton"
"repjoecourtney","85396297","RepJoeCourtney","Rep. Joe Courtney","U.S. Congressman proudly fighting for the residents of Connecticut’s 2nd Congressional District. https://t.co/qNiLbsYBdJ",13246,3868,1895,"Mon Oct 26 19:45:09 +0000 2009","Vernon, CT","01836","C001069","Joe Courtney","M","Congress","Democrat","joecourtney","repcourtney"
"repjoecrowley","111635980","repjoecrowley","Rep. Joe Crowley","Proudly representing New York’s 14th Congressional District. Vice Chair of @HouseDemocrats. http://t.co/y9inUi3Oyt",11242,2901,747,"Fri Feb 05 16:39:11 +0000 2010","","01604","C001038","Joseph Crowley","M","Congress","Democrat","repjoecrowley","RepJoeCrowley"
"repjoeheck","222286905","RepJoeHeck","Congressman Joe Heck","Proudly serving Nevada's 3rd Congressional District",10688,3579,94,"Thu Dec 02 23:59:37 +0000 2010","","02040","H001055","Joseph J. Heck","M","Congress","Republican","RepJoeHeck","repjoeheck"
"repjoekennedy","1055907624","RepJoeKennedy","Rep. Joe Kennedy III","Official Twitter account of Congressman Joe Kennedy III, representing Massachusetts' 4th Congressional District.",23850,2749,617,"Wed Jan 02 19:33:36 +0000 2013","","02172","K000379","Joseph P. Kennedy III","M","Congress","Democrat","301936109927957",NA
"repjoepitts","198526130","RepJoePitts","CongressmanJoePitts","Joe Pitts represents the 16th Congressional District of Pennsylvania: http://t.co/NpQGE161wQ",10289,1832,113,"Mon Oct 04 15:09:48 +0000 2010","Pennsylvania","01514","P000373","Joseph R. Pitts","M","Congress","Republican","94156528752","congressmanjoepitts"
"repjoewilson","254082173","RepJoeWilson","Joe Wilson","Official Twitter account for Congressman Joe Wilson (SC-02). Grateful to serve as Chairman of the HASC Subcommittee on Emerging Threats & Capabilities",6287,929,317,"Fri Feb 18 15:18:45 +0000 2011","","01688","W000795","Joe Wilson","M","Congress","Republican","JoeWilson","RepJoeWilson"
"repjohnconyers","138770045","RepJohnConyers","John Conyers","Official Twitter account for Congressman John Conyers, Jr., Rep. of Michigan's 13th Congressional District. For Jobs, Justice & Peace. | RTs ≠ Endorsements",22022,2087,792,"Fri Apr 30 14:49:06 +0000 2010","Detroit/Washington D.C. ","00229","C000714","John Conyers Jr.","M","Congress","Democrat","CongressmanConyers","JCMI14"
"repjohndelaney","937723303","RepJohnDelaney","Rep. John Delaney","Official Twitter page for Congressman John K. Delaney, representing Maryland’s Sixth Congressional District in the U.S. House of Representatives.",6429,3979,1202,"Fri Nov 09 20:40:22 +0000 2012","Maryland's Sixth District","02133","D000620","John K. Delaney","M","Congress","Democrat","congressmanjohndelaney","repjohndelaney"
"repjohnduncanjr","1883356866","RepJohnDuncanJr","Rep John Duncan Jr.","Proudly serving the people of Tennessee's 2nd District in the U.S. Congress, Vice Chairman of @Transport Committee & Member of @GOPoversight.",2550,507,320,"Thu Sep 19 14:50:04 +0000 2013","Knoxville, TN","00322","D000533","John J. Duncan Jr.","M","Congress","Republican","CongressmanDuncan","RepJohnDuncan"
"repjohnkatko","2966765501","RepJohnKatko","John Katko","Official Twitter account of Rep. John Katko. Proudly representing New York's 24th Congressional District.",2837,264,176,"Wed Jan 07 21:51:49 +0000 2015","Syracuse, New York","02264","K000386","John Katko","M","Congress","Republican","RepJohnKatko",NA
"repjohnkline","76350004","repjohnkline","John Kline","Serving my seventh term in Congress, I am married to wife, Vicky. I served 25 years in the Marine Corps, retiring at the rank of Colonel.",8649,3028,191,"Tue Sep 22 14:43:45 +0000 2009","Burnsville, MN","01733","K000363","John Kline","M","Congress","Republican","repjohnkline","repjohnkline"
"repjohnlarson","50452197","RepJohnLarson","Rep. John Larson","Member of Congress representing the first congressional district of Connecticut.",13946,1860,402,"Wed Jun 24 21:47:31 +0000 2009","Hartford, CT","01583","L000557","John B. Larson","M","Congress","Democrat","RepJohnLarson","RepJohnLarson"
"repjohnlewis","29450962","repjohnlewis","John Lewis","Congressman, Georgia's Fifth Congressional District",187503,1595,164,"Tue Apr 07 13:49:52 +0000 2009","Atlanta, GA","00688","L000287","John Lewis","M","Congress","Democrat","RepJohnLewis","repjohnlewis"
"repjohnyarmuth","384913290","RepJohnYarmuth","Rep. John Yarmuth","Official Twitter Account for Congressman John Yarmuth, representing the 3rd Congressional District of Kentucky.",12902,2219,316,"Tue Oct 04 15:07:38 +0000 2011","Louisville, KY","01853","Y000062","John A. Yarmuth","M","Congress","Democrat","214258646163","RepJohnYarmuth"
"repjoseserrano","33563161","RepJoseSerrano","Jose E. Serrano","Congressman representing the South Bronx, New York.",14435,3466,879,"Mon Apr 20 16:06:56 +0000 2009","Bronx NY-Wash.DC","01042","S000248","José E. Serrano","M","Congress","Democrat","RepJoseSerrano",NA
"repjuanvargas","1260172386","RepJuanVargas","Rep. Juan Vargas","Official Twitter account of Rep. Vargas, representing southern San Diego County, all of Imperial County and California's entire US/Mexico border. #CA51",5902,925,136,"Mon Mar 11 19:04:01 +0000 2013","SD/Imperial Counties, CA","02112","V000130","Juan Vargas","M","Congress","Democrat","RepJuanVargas","RepJuanVargas"
"repjudychu","193732179","RepJudyChu","Judy Chu","Proudly representing California's 27th District in the U.S. House of Representatives. Chair of @CAPAC.",17875,3009,9901,"Wed Sep 22 15:18:17 +0000 2010","Pasadena, CA","01970","C001080","Judy Chu","F","Congress","Democrat","RepJudyChu","RepJudyChu"
"repkarenbass","239949176","RepKarenBass","Congressmember Bass","Representing California's 37th District, which includes Los Angeles, South LA, and Culver City. https://t.co/XHzgMSAQAc",26533,2885,14786,"Tue Jan 18 20:25:36 +0000 2011","Los Angeles & Washington","01996","B001270","Karen Bass","F","Congress","Democrat","RepKarenBass","RepKarenBass"
"repkathleenrice","2970462034","RepKathleenRice","Kathleen Rice","U.S. Representative for #NY04 (Long Island). Former Nassau County DA. Tweets from Kathleen are signed -kr",3810,1200,971,"Fri Jan 09 21:18:27 +0000 2015","Long Island, NY","02262","R000602","Kathleen M. Rice","F","Congress","Democrat","RepKathleenRice",NA
"repkaygranger","161743731","RepKayGranger","Rep. Kay Granger","Congresswoman Kay Granger represents the 12th District of Texas. She is the Chairwoman of the Appropriations subcommittee on State-Foreign Operations.",10321,1339,1127,"Thu Jul 01 17:14:51 +0000 2010","Texas ","01487","G000377","Kay Granger","F","Congress","Republican","RepKayGranger","RepKayGranger"
"repkclark","2293131060","RepKClark","Katherine Clark","Proudly representing the people of the 5th District of Massachusetts.",18740,2314,6989,"Wed Jan 15 18:53:47 +0000 2014","","02196","C001101","Katherine M. Clark","F","Congress","Democrat","CongresswomanClark",NA
"repkenbuck","2862577383","RepKenBuck","Congressman Ken Buck","Husband. Father. Proudly represent the wonderful people of Colorado CD-04.",3247,873,282,"Wed Nov 05 14:49:30 +0000 2014"," Windsor, CO | Washington, DC","02233","B001297","Ken Buck","M","Congress","Republican","repkenbuck",NA
"repkenmarchant","23976316","RepKenMarchant","Kenny Marchant","Serving the 24th Congressional District of Texas | Member of @WaysandMeansGOP and House Ethics Committee",14871,4844,2189,"Thu Mar 12 16:19:18 +0000 2009","Irving and Washington, D.C.","01806","M001158","Kenny Marchant","M","Congress","Republican","RepKennyMarchant","RepKennyMarchant"
"repkevinbrady","19926675","RepKevinBrady","RepKevinBrady","Dad. Husband. Chairman of @WaysandMeansGOP. Deputy Whip. Loves: Baseball and Texas.",16903,9015,697,"Mon Feb 02 19:57:06 +0000 2009","The Woodlands, Texas","01468","B000755","Kevin Brady","M","Congress","Republican","kevinbrady","KBrady8"
"repkevincramer","1048784496","RepKevinCramer","Rep. Kevin Cramer","Representing the great people of North Dakota in the United States House of Representatives. Member of @HouseCommerce",5907,1564,631,"Sun Dec 30 20:54:06 +0000 2012","","02144","C001096","Kevin Cramer","M","Congress","Republican","CongressmanKevinCramer","kevincramer"
"repkevinyoder","252819642","RepKevinYoder","Rep. Kevin Yoder","I represent the 3rd District of Kansas in the United States Congress, where I serve on the House Appropriations Committee.",11792,5589,1601,"Wed Feb 16 00:04:41 +0000 2011","KS 3rd District & DC","02021","Y000063","Kevin Yoder","M","Congress","Republican","CongressmanKevinYoder","RepYoder"
"repkinzinger","219429281","RepKinzinger","Adam Kinzinger","I represent Illinois' 16th District. It's an honor to serve in Congress on Energy & Commerce and as a pilot in the Air National Guard.",18477,4366,934,"Wed Nov 24 21:04:11 +0000 2010","Channahon, IL","02014","K000378","Adam Kinzinger","M","Congress","Republican","RepKinzinger","RepAdamKinzinger"
"repkirkpatrick","1090002997","RepKirkpatrick","Rep. Ann Kirkpatrick","Congresswoman Ann Kirkpatrick, Arizona's District One, is a member of the House Agriculture Committee and the Transportation & Infrastructure Committee.",9221,1759,1091,"Mon Jan 14 19:53:56 +0000 2013","Flagstaff, AZ","01907","K000368","Ann Kirkpatrick","F","Congress","Democrat","RepKirkpatrick","repannkirkpatrick"
"repkristinoem","235251868","RepKristiNoem","Rep. Kristi Noem","I'm South Dakota's lone Member of the U.S. House of Representatives. I live in Castlewood, SD with my husband Bryon and three kids Kassidy, Kennedy & Booker.",18159,3393,341,"Fri Jan 07 18:44:34 +0000 2011","","02060","N000184","Kristi L. Noem","F","Congress","Republican",NA,"RepKristiNoem"
"replamalfa","1069124515","RepLaMalfa","Rep. Doug LaMalfa","Representing California's First District including Siskiyou, Shasta, Tehama, Butte, Glenn, Modoc, Lassen, Plumas, Sierra, Nevada and Placer Counties",3602,302,988,"Mon Jan 07 20:07:58 +0000 2013","Northern California","02100","L000578","Doug LaMalfa","M","Congress","Republican","RepLaMalfa","RepLaMalfa"
"replancenj7","613725908","RepLanceNJ7","Rep. Leonard Lance","Official Twitter Account for Congressman Leonard Lance.  Proudly Representing New Jersey's 7th Congressional District.  http://t.co/uudCjpcv9f",5127,1242,324,"Wed Jun 20 20:19:40 +0000 2012","","01936","L000567","Leonard Lance","M","Congress","Republican","CongressmanLance","CongressmanLance"
"replarrybucshon","234812598","RepLarryBucshon","Larry Bucshon, MD","Congressman representing Hoosiers from #IN08. Doctor. Member of @HouseCommerce. https://t.co/4eq38hemtk",10206,4074,1913,"Thu Jan 06 16:45:56 +0000 2011","Indiana's 8th District  ","02018","B001275","Larry Bucshon","M","Congress","Republican","RepLarryBucshon","RepLarryBucshon"
"replawrence","2863006655","RepLawrence","Brenda Lawrence","Congresswoman for Michigan's 14th District: Detroit, Southfield, Oakland and Wayne Counties.",3946,2384,1048,"Wed Nov 05 18:46:39 +0000 2014","Washington, DC","02252","L000581","Brenda L. Lawrence","F","Congress","Democrat","395759603917487",NA
"repleezeldin","2750127259","RepLeeZeldin","Lee Zeldin","Official Twitter of U.S. Congressman Lee Zeldin of New York's 1st Congressional District.",2639,627,501,"Wed Aug 20 19:25:47 +0000 2014","","02261","Z000017","Lee M. Zeldin","M","Congress","Republican","RepLeeZeldin",NA
"replindasanchez","312134473","RepLindaSanchez","Linda T. Sánchez","I work for CA-38 + Chair the  @HispanicCaucus. Serve on the @WaysMeansCmte & @BenghaziDems. Ranking Member on the Ethics Cmte. Die-hard @Dodgers Fan.",11265,1978,1754,"Mon Jun 06 16:50:45 +0000 2011","Norwalk, CA & Washington, D.C.","01757","S001156","Linda T. Sánchez","F","Congress","Democrat","CongresswomanLindaSanchez","LindaTSanchez"
"replipinski","1009269193","RepLipinski","Rep. Daniel Lipinski","Proudly representing the people of Illinois' 3rd Congressional District. Follow me on Facebook at http://t.co/The2w76j",4279,1275,847,"Thu Dec 13 17:03:06 +0000 2012","","01781","L000563","Daniel Lipinski","M","Congress","Democrat","repdanlipinski","lipinski03"
"replloyddoggett","153944899","RepLloydDoggett","Lloyd Doggett","Representing communities from San Antonio to Austin.",12811,2410,330,"Wed Jun 09 23:53:50 +0000 2010","Texas","00303","D000399","Lloyd Doggett","M","Congress","Democrat","lloyddoggett","doggett"
"replobiondo","241207373","RepLoBiondo","Frank LoBiondo","Congressman proudly representing New Jersey's 2nd District. Chairman of House Aviation Subcommittee & CIA Subcommittee",7991,2947,236,"Fri Jan 21 18:28:47 +0000 2011","#SouthJersey","00699","L000554","Frank A. LoBiondo","M","Congress","Republican","FrankLoBiondo","USRepFrankLoBiondo"
"reploiscapps","292990703","RepLoisCapps","Lois Capps","U.S. Representative from California's 24th Congressional District",10049,2641,2834,"Wed May 04 15:39:31 +0000 2011","California ","01471","C001036","Lois Capps","F","Congress","Democrat","loiscapps","reploiscapps"
"reploisfrankel","1077121945","RepLoisFrankel","Rep. Lois Frankel","Representative from Florida's 22nd Congressional District",8302,3178,1428,"Thu Jan 10 16:58:38 +0000 2013","","02119","F000462","Lois Frankel","F","Congress","Democrat","RepLoisFrankel","reploisfrankel"
"reploubarletta","239871673","RepLouBarletta","Rep. Lou Barletta","Proudly representing Pennsylvania's 11th Congressional District.",10916,1674,1700,"Tue Jan 18 16:37:10 +0000 2011","","02054","B001269","Lou Barletta","M","Congress","Republican","CongressmanLouBarletta","reploubarletta"
"reploudermilk","2914163523","RepLoudermilk","Barry Loudermilk","Rep. Barry Loudermilk represents Georgia's 11th Congressional District, which includes all of Bartow and Cherokee counties and portions of Cobb and Fulton.",2999,699,334,"Wed Dec 10 18:53:17 +0000 2014","","02238","L000583","Barry Loudermilk","M","Congress","Republican","reploudermilk",NA
"replouiegohmert","22055226","replouiegohmert","Louie Gohmert","Member of Congress, representing the first district of Texas which encompasses over 12 counties stretching nearly 120 miles down the eastern border of Texas.",60995,4562,575,"Thu Feb 26 20:14:28 +0000 2009","","01801","G000552","Louie Gohmert","M","Congress","Republican","50375006903","GohmertTX01"
"replowenthal","1055730738","RepLowenthal","Rep. Alan Lowenthal","Proudly serving California's 47th Congressional District. http://t.co/pHmhAyCM6J",7890,2247,3289,"Wed Jan 02 18:11:33 +0000 2013","Long Beach, CA","02111","L000579","Alan S. Lowenthal","M","Congress","Democrat","RepLowenthal","RepLowenthal"
"replujangrisham","1061385474","RepLujanGrisham","MichelleLujanGrisham","Proudly serving New Mexico's 1st Congressional District. Serving on House Agriculture, Budget and Oversight & Government Reform Committees.",11047,2772,515,"Fri Jan 04 20:46:03 +0000 2013","Albuquerque, NM","02146","L000580","Michelle Lujan Grisham","F","Congress","Democrat","RepLujanGrisham","RepLujanGrisham"
"replukemesser","1045853744","RepLukeMesser","Rep. Luke Messer","Husband to a wonderful wife, father of three great kids, Congressman for Indiana's 6th Congressional District, lifelong Hoosier, and a die-hard #Colts fan.",6585,1327,834,"Sat Dec 29 20:06:12 +0000 2012","Shelbyville, IN","02130","M001189","Luke Messer","M","Congress","Republican","RepLukeMesser","RepLukeMesser"
"replynnjenkins","19658173","RepLynnJenkins","Lynn Jenkins","Proud to represent the 2nd District of Kansas | Vice Chair of the House Republican Conference | CPA",17479,5022,4650,"Wed Jan 28 15:54:00 +0000 2009","Topeka","01921","J000290","Lynn Jenkins","F","Congress","Republican","replynnjenkins","RepLynnJenkins"
"repmaloney","258900199","RepMaloney","Carolyn  B. Maloney","New York's 12th Congressional District - Manhattan, Brooklyn & Queens",12739,2512,3292,"Mon Feb 28 19:06:50 +0000 2011","New York City","00729","M000087","Carolyn B. Maloney","F","Congress","Democrat","RepCarolynMaloney",NA
"repmarciafudge","153486399","RepMarciaFudge","Rep. Marcia L. Fudge","I work on behalf of the people of the 11th District to create jobs, promote quality education, improve access to health care and protect civil rights for all.",18601,3955,4977,"Tue Jun 08 17:54:06 +0000 2010","Cleveland / Akron, OH","01895","F000455","Marcia L. Fudge","F","Congress","Democrat","RepMarciaLFudge","marcialfudge"
"repmarcykaptur","581141508","RepMarcyKaptur","Marcy Kaptur","Office of Congresswoman Marcy Kaptur - - Serving Ohio's 9th District in the United States Congress",8038,1929,450,"Tue May 15 16:57:51 +0000 2012","","00616","K000009","Marcy Kaptur","F","Congress","Democrat","RepresentativeMarcyKaptur","USRepMarcyKaptur"
"repmarkmeadows","963480595","RepMarkMeadows","Mark Meadows","I am a businessman, husband and father proudly representing North Carolina's 11th Congressional District.",12153,3120,619,"Thu Nov 22 02:20:50 +0000 2012","Jackson County, NC","02142","M001187","Mark Meadows","M","Congress","Republican","Repmarkmeadows","RepMarkMeadows"
"repmarkpocan","1206227149","repmarkpocan","Rep. Mark Pocan","Honored to serve the people of Wisconsin's Second District. First Vice Chair, @USProgressives",7843,2525,5086,"Thu Feb 21 22:59:04 +0000 2013","Madison, WI and Washington, DC","02171","P000607","Mark Pocan","M","Congress","Democrat","repmarkpocan","repmarkpocan"
"repmarktakai","2975350155","RepMarkTakai","Mark Takai","Aloha!  Welcome to the official Twitter for Congressman Mark Takai (HI-01) -- husband, father, Hawaii National Guard veteran, public servant.",2555,711,1811,"Mon Jan 12 21:41:39 +0000 2015","Honolulu / Washington, D.C.","02240","T000473","Mark Takai","M","Congress","Democrat","repmarktakai",NA
"repmarktakano","1037321378","RepMarkTakano","Mark Takano","Representing CA's 41st District - Acting Ranking Member of Committee on Veterans' Affairs.",12540,1625,2317,"Wed Dec 26 14:58:17 +0000 2012","Riverside, CA","02110","T000472","Mark Takano","M","Congress","Democrat","RepMarkTakano","RepMarkTakano"
"repmarkwalker","2966205003","RepMarkWalker","Rep. Mark Walker","Member of the U.S. Congress - Representing the 6th District of North Carolina",3825,1195,1294,"Wed Jan 07 16:20:28 +0000 2015","","02255","W000819","Mark Walker","M","Congress","Republican","RepMarkWalker",NA
"repmartharoby","224294785","RepMarthaRoby","Rep. Martha Roby","Congressional Twitter account for U.S. Representative Martha Roby (R-AL)",17382,6343,2125,"Wed Dec 08 16:56:29 +0000 2010","","01986","R000591","Martha Roby","F","Congress","Republican","Representative.Martha.Roby","reproby"
"repmattsalmon","1072382221","RepMattSalmon","Matt Salmon","Proudly representing the 5th District of #AZ in Congress #AZ05 Visit my page at https://t.co/eZcoayceBJ",10295,3853,2522,"Wed Jan 09 00:05:57 +0000 2013","","01009","S000018","Matt Salmon","M","Congress","Republican","RepMattSalmon","repmattsalmon"
"repmccaul","26424123","RepMcCaul","Michael McCaul","News from Congressman Michael McCaul (R-TX 10) and his Press Office",12460,2012,305,"Wed Mar 25 03:54:11 +0000 2009","Texas' 10th District","01804","M001157","Michael T. McCaul","M","Congress","Republican","michaeltmccaul","MichaelTMcCaul"
"repmcclintock","50152441","RepMcClintock","Tom McClintock","United States Representative, 4th District of California",9660,276,0,"Wed Jun 24 00:21:07 +0000 2009","Washington, DC","01908","M001177","Tom McClintock","M","Congress","Republican","81125319109","McClintockCA04"
"repmcgovern","242426145","RepMcGovern","Rep. Jim McGovern","Official Twitter account for Congressman Jim McGovern, of Massachusetts' 2nd Congressional District.",17465,4405,503,"Mon Jan 24 19:18:36 +0000 2011","Massachusetts","01504","M000312","James P. McGovern","M","Congress","Democrat","RepJimMcGovern","repjimmcgovern"
"repmckinley","240427862","RepMcKinley","David B. McKinley","Proud to serve the First District of West Virginia in the U.S. House of Representatives. Member of the Energy and Commerce Committee. Staff-run account",12540,3383,567,"Wed Jan 19 22:29:00 +0000 2011","","02074","M001180","David B. McKinley","M","Congress","Republican","RepMcKinley","RepDavidMcKinley"
"repmcnerney","385429543","RepMcNerney","Jerry McNerney","Proudly representing California's 9th Congressional District. Learn more about my work in Congress at http://t.co/MbFWXH7J",7759,1466,549,"Wed Oct 05 13:52:58 +0000 2011","Stockton, CA","01832","M001166","Jerry McNerney","M","Congress","Democrat","jerrymcnerney","RepJerryMcNerney"
"repmcsally","2964949642","RepMcSally","Martha McSally","Honored to represent the people of Arizona's Second Congressional District in the U.S House of Representatives.",4609,1380,728,"Tue Jan 06 20:39:37 +0000 2015","Southern Arizona","02225","M001197","Martha McSally","F","Congress","Republican","RepMcSally",NA
"repmeehan","248850174","RepMeehan","Patrick Meehan","Proudly representing Pennsylvania's 7th District in the U.S. House of Representatives",9855,3608,958,"Mon Feb 07 21:19:34 +0000 2011","","02052","M001181","Patrick Meehan","M","Congress","Republican","CongressmanPatrickMeehan","repmeehan"
"repmgriffith","234057152","RepMGriffith","Morgan Griffith","Congressman Griffith represents the 9th District of Virginia in the U.S. House of Representatives.",12179,962,414,"Tue Jan 04 19:05:24 +0000 2011","9th District of Virginia","02070","G000568","H. Morgan Griffith","M","Congress","Republican","RepMorganGriffith","RepMorganGriffith"
"repmialove","2976598347","RepMiaLove","Rep. Mia Love","Official account for Congresswoman Mia Love, Utah's 4th District",8044,375,104,"Tue Jan 13 15:44:28 +0000 2015","Saratoga Springs, UT","02271","L000584","Mia B. Love","F","Congress","Republican","repmialove",NA
"repmickmulvaney","240385577","RepMickMulvaney","Rep. Mick Mulvaney","",11891,1423,6183,"Wed Jan 19 20:18:39 +0000 2011","South Carolina's 5th District","02059","M001182","Mick Mulvaney","M","Congress","Republican","MulvaneySC5","RepMickMulvaney"
"repmikebishop","2914571740","RepMikeBishop","Mike Bishop","Official account for Congressman Mike Bishop #MI08. Serving on @HouseJudiciary and @EdWorkforce Committees.",3319,1041,598,"Wed Dec 10 22:19:34 +0000 2014","Rochester, MI","02249","B001293","Mike Bishop","M","Congress","Republican","RepMikeBishop",NA
"repmikecoffman","19407835","RepMikeCoffman","Rep. Mike Coffman","Proudly representing Colorado's Sixth Congressional District | @USMC Combat Vet | https://t.co/nZgpI9PAJp | Insta: @repmikecoffman | RTs/follow ≠ endorsement",16863,2231,1354,"Fri Jan 23 19:04:01 +0000 2009","Colorado's 6th District","01912","C001077","Mike Coffman","M","Congress","Republican","repmikecoffman","CongressmanCoffman"
"repmikehonda","16583468","RepMikeHonda","Rep. Mike Honda","Congressman for 17th District of California and Silicon Valley. Lead Democrat on CJS Appropriations. Fluent in Spanish. Native Californian. #CA17 #NoBillNoBreak",21785,2720,1045,"Fri Oct 03 20:18:31 +0000 2008","Santa Clara, CA","01634","H001034","Michael M. Honda","M","Congress","Democrat","RepMikeHonda","RepMikeHonda"
"repmikepompeo","244268646","RepMikePompeo","Mike Pompeo","U.S. Congressman representing KS-04. West Point. General Aviation. Manufacturing. Energy. Free markets. My staff helps me on Twitter. RTs aren't endorsements.",13344,3922,1644,"Fri Jan 28 22:54:50 +0000 2011","","02022","P000602","Mike Pompeo","M","Congress","Republican","CongressmanPompeo","congressmanpompeo"
"repmikequigley","56864092","RepMikeQuigley","Mike Quigley","#IL05 Congressman, House Appropriator, member of Intel Committee, amateur hockey player & hopeful Cubs fan http://t.co/zL9fkzy188  http://t.co/FMe57EKfsC",13373,6759,2078,"Wed Jul 15 00:10:43 +0000 2009","Chicago, IL; Washington, DC","01967","Q000023","Mike Quigley","M","Congress","Democrat","repmikequigley","RepMikeQuigley"
"repmikerogersal","33977070","RepMikeRogersAL","Mike Rogers","I am proud to represent Alabama's Third Congressional District.",13422,2854,2880,"Tue Apr 21 17:43:28 +0000 2009","Washington, D.C./Anniston, AL","01704","R000575","Mike Rogers","M","Congress","Republican","171770326187035","MikeRogersAL03"
"repmiketurner","51228911","RepMikeTurner","US Rep. Mike Turner","I proudly represent the Tenth District of Ohio. Montgomery County, Greene County and Fayette County. #OH10",8660,1855,711,"Fri Jun 26 21:15:07 +0000 2009","Washington, DC and Dayton, OH","01741","T000463","Michael R. Turner","M","Congress","Republican","RepMikeTurner","CongressmanTurner"
"repmimiwalters","47798449","RepMimiWalters","Mimi Walters","Wife, mother of 4 awesome children, and U.S. Congresswoman proudly serving #CA45.",5253,2719,905,"Wed Jun 17 00:59:59 +0000 2009","Irvine, CA","02232","W000820","Mimi Walters","F","Congress","Republican","RepMimiWalters",NA
"repmobrooks","237299871","RepMoBrooks","Mo Brooks","Thanks for following me. I'm the Congressman for Alabama's Fifth District and this is my official Twitter page. It's an honor to serve you.",10405,912,1941,"Wed Jan 12 14:46:14 +0000 2011","Alabama","01987","B001274","Mo Brooks","M","Congress","Republican","155220881193244","RepMoBrooks"
"repmoolenaar","2696643955","RepMoolenaar","Rep. John Moolenaar","Representing Michigan's Fourth Congressional District. This is the Twitter page of the official House office.",2121,496,288,"Thu Jul 31 21:09:14 +0000 2014","","02248","M001194","John R. Moolenaar","M","Congress","Republican","RepMoolenaar",NA
"repmullin","1060370282","RepMullin","Markwayne Mullin","Father of five. Small business owner. Honored to represent Oklahoma’s conservative values in Congress.",7101,1648,1125,"Fri Jan 04 12:43:55 +0000 2013","Oklahoma","02156","M001190","Markwayne Mullin","M","Congress","Republican","CongressmanMarkwayneMullin",NA
"repmurphyfl","1128781184","RepMurphyFL","(((Rep. Murphy)))","Rep. Patrick E. Murphy represents Martin, St. Lucie, and northern Palm Beach counties in the U.S. House of Representatives.",8628,1760,796,"Mon Jan 28 17:56:38 +0000 2013","Florida 18","02117","M001191","Patrick Murphy","M","Congress","Democrat","CongressmanPatrickMurphy","RepPatrickMurphyFL"
"repnewhouse","2930635215","RepNewhouse","Rep Dan Newhouse","Proud to represent Washington's 4th District in the U.S. Congress",2675,683,1290,"Thu Dec 18 20:19:23 +0000 2014","","02275","N000189","Dan Newhouse","M","Congress","Republican","RepNewhouse",NA
"reppaulcook","1074412920","RepPaulCook","Rep. Paul Cook","Twenty-six year retired @USMC Colonel serving as a United States Congressman from California's 8th Congressional District. Join the conversation #CA08 #Semperfi",4803,1473,1189,"Wed Jan 09 17:43:44 +0000 2013","Apple Valley, California ","02103","C001094","Paul Cook","M","Congress","Republican","RepPaulCook","RepPaulCook"
"reppaultonko","84119348","RepPaulTonko","Paul Tonko","Promoting jobs, innovation and middle class for NY-20 in Congress. RT or follows are not endorsements. Account managed by staff & Rep. Tonko.",12808,8433,1737,"Wed Oct 21 17:24:57 +0000 2009","","01942","T000469","Paul Tonko","M","Congress","Democrat","paul.tonko","reppaultonko"
"repperlmutter","20552026","RepPerlmutter","Rep. Ed Perlmutter","Member of Congress, proudly representing the 7th District of Colorado https://t.co/wLRJaGd9rX",14344,2686,3542,"Tue Feb 10 22:17:52 +0000 2009","Colorado","01835","P000593","Ed Perlmutter","M","Congress","Democrat","RepPerlmutter","RepPerlmutter"
"reppeteaguilar","3018670151","RepPeteAguilar","Pete Aguilar","Pete Aguilar represents CA’s 31st Congressional District. A former Mayor, Rep. Aguilar is committed to strengthening the Inland Empire’s middle class.",2650,647,143,"Wed Feb 04 21:01:23 +0000 2015","San Bernardino, CA","02229","A000371","Pete Aguilar","M","Congress","Democrat","reppeteaguilar",NA
"reppeteking","18277655","RepPeteKing","Rep. Pete King","Representing New York's 2nd Congressional District",21631,2186,100,"Sun Dec 21 02:49:32 +0000 2008","Seaford, New York","00635","K000210","Peter T. King","M","Congress","Republican",NA,"RepPeterKing"
"reppeteolson","20053279","RepPeteOlson","Rep. Pete Olson","Proudly representing TX-22 in Congress. Follow me on Facebook: http://t.co/2aP7aRlj3f and Instagram: https://t.co/hBZNAgZcuI",5981,4570,1984,"Wed Feb 04 13:40:57 +0000 2009","Washington, DC / Houston, TX","01955","O000168","Pete Olson","M","Congress","Republican","20718168936",NA
